EpisodesSoFar,meankl,EpThisIter,surrgain,TimeElapsed,entropy,entloss,EpRewMean,optimgain,TimestepsSoFar,EpLenMean,EpRew/step,explained_variance_tdlam_before
23,0.007905924,23,0.028050486,127.59649109840393,2.828836,0.0,-390.01258386956505,0.028050486,1024,41.95652173913044,-10.270443115434304,-7.677078247070312e-05
38,0.008268782,15,0.032942504,275.14556527137756,2.8670409,0.0,-453.72173305263163,0.032942504,2048,53.578947368421055,-10.056380217024941,-0.0008109807968139648
55,0.010354623,17,0.039653786,422.04398226737976,2.8845804,0.0,-537.201395425,0.039653786,3072,58.325,-11.36442273633368,1.4126300811767578e-05
67,0.009730982,12,0.030371916,599.2316489219666,2.9013376,0.0,-511.58321335,0.030371916,4096,67.475,-9.961710965304514,-0.001935720443725586
81,0.011154362,14,0.039089654,755.2608485221863,2.8898275,0.0,-411.45922522500007,0.039089654,5120,71.85,-7.291427339808559,-0.0007318258285522461
96,0.009763568,15,0.037584092,909.1429450511932,2.922295,0.0,-346.713388075,0.037584092,6144,73.975,-5.072406546242853,4.559755325317383e-05
108,0.008913193,12,0.032017007,1073.3083791732788,2.9230611,0.0,-373.25957804999996,0.032017007,7168,73.1,-5.681034834529673,-0.011642932891845703
120,0.003006021,12,0.02192147,1231.7113194465637,2.939442,0.0,-297.03336755,0.02192147,8192,77.325,-4.6940225320983995,-0.0019948482513427734
132,0.0032796315,12,0.012473324,1377.9872987270355,2.9482098,0.0,-181.25422705,0.012473324,9216,82.975,-2.6987932925300178,-0.002088189125061035
138,0.0030955449,6,0.012985777,1515.0854427814484,2.9323025,0.0,-201.525851375,0.012985777,10240,96.15,-2.669834979921313,-0.00024271011352539062
155,0.010314549,17,0.04170806,1649.9696779251099,2.9229987,0.0,-232.18119934999999,0.04170806,11264,83.9,-2.8047365003551796,2.9206275939941406e-06
165,0.012450709,10,0.02847503,1783.5585224628448,2.9067786,0.0,-263.77644175,0.02847503,12288,88.675,-3.2659969644342333,0.00014644861221313477
174,0.008621108,9,0.030356562,1902.5187048912048,2.9428422,0.0,-323.002605275,0.030356562,13312,86.55,-4.276015449971676,-3.4928321838378906e-05
184,0.007212779,10,0.028458338,2022.666226863861,2.954943,0.0,-329.485539575,0.028458338,14336,92.725,-4.3824291499522126,6.937980651855469e-05
189,0.009195106,5,0.026240109,2141.738747358322,2.9644403,0.0,-283.965036925,0.026240109,15360,111.425,-3.3727557555034826,-0.0002720355987548828
197,0.009979873,8,0.03471869,2267.0312325954437,2.9632475,0.0,-309.22787047500003,0.03471869,16384,118.05,-3.626502934988629,-3.993511199951172e-05
204,0.010273,7,0.016550846,2395.0570006370544,2.9003687,0.0,-277.589791075,0.016550846,17408,124.825,-3.1420984479038574,0.0008277297019958496
214,0.0028986305,10,0.015004855,2513.7471628189087,2.9011755,0.0,-210.5583645,0.015004855,18432,134.075,-2.0362943613356435,0.00020015239715576172
221,0.010031938,7,0.028917484,2634.833422422409,2.9030344,0.0,-141.60881999999998,0.028917484,19456,130.45,-1.3585010151397945,-0.0005321502685546875
229,0.0078123184,8,0.037187397,2755.8573842048645,2.8875704,0.0,-160.500287725,0.037187397,20480,126.275,-1.674134519653487,-0.0002372264862060547
237,0.009227734,8,0.022639804,2880.459940433502,2.893274,0.0,-106.42428300000002,0.022639804,21504,127.725,-0.9513203146142898,-0.0009601116180419922
